from_label_id,from_label,from_token_text,from_token_stanza_pos,from_token_stanza_dep,from_token_ckip_pos,to_label_id,to_label,to_token_text,to_token_stanza_pos,to_token_stanza_dep,to_token_ckip_pos,relation_label,direction
0RJsZQqAb5,OPINION_OPR,表示,VERB,root,VE,KYl-FS1X6n,OPINION_SRC,立委,NOUN,nsubj,Na,OPR->SRC,left
0RJsZQqAb5,OPINION_OPR,表示,VERB,root,VE,MG1umndr9X,OPINION_SEG,讓,VERB,xcomp,VL,OPR->SEG,right
0RJsZQqAb5,OPINION_OPR,表示,VERB,root,VE,MG1umndr9X,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
sVC9O4AHXb,OPINION_OPR,表示,VERB,root,VE,8xVRxD3iiH,OPINION_SRC,市長,NOUN,nsubj,Na,OPR->SRC,left
sVC9O4AHXb,OPINION_OPR,表示,VERB,root,VE,0Z0Z9aIACs,OPINION_SEG,徵詢,VERB,ccomp,VE,OPR->SEG,right
0APo8lGJia,OPINION_OPR,表示,VERB,root,VE,k5K_dfPFam;29Xdoo-Vez,OPINION_SRC;Pronoun,他,PRON,nsubj,Nh,OPR->SRC,left
0APo8lGJia,OPINION_OPR,表示,VERB,root,VE,pAqSZ7mYg-,OPINION_SEG,尊重,VERB,xcomp,VJ,OPR->SEG,right
0APo8lGJia,OPINION_OPR,表示,VERB,root,VE,pAqSZ7mYg-,OPINION_SEG,表示,VERB,ccomp,VE,OPR->SEG,right
0APo8lGJia,OPINION_OPR,表示,VERB,root,VE,pAqSZ7mYg-,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
36Pj4jY4ht,OPINION_OPR,表示,VERB,root,VE,FPpZC4jq7X,OPINION_SRC,黃,PROPN,nsubj,Nb,OPR->SRC,left
WhFjddsiu5,OPINION_OPR,說,VERB,root,VE,odsYxV1YeQ;XWGmDJV_2H,OPINION_SRC;Pronoun,他,PRON,nsubj,Nh,OPR->SRC,left
WhFjddsiu5,OPINION_OPR,說,VERB,root,VE,8joZx6OZur,OPINION_SEG,徵詢,VERB,ccomp,VE,OPR->SEG,right
WhFjddsiu5,OPINION_OPR,說,VERB,root,VE,8joZx6OZur,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
36Pj4jY4ht,OPINION_OPR,表示,VERB,root,VE,4FgbIkj178,OPINION_SEG,無,VERB,ccomp,D,OPR->SEG,right
Xy9ZCnYfLs,OPINION_OPR,揭示,VERB,root,VE,b3KJMm4y9Q,OPINION_SRC,蔡,PROPN,nsubj,Nb,OPR->SRC,left
Xy9ZCnYfLs,OPINION_OPR,揭示,VERB,root,VE,JsFROg-W3z,OPINION_SEG,任務,NOUN,obj,Na,OPR->SEG,right
Xy9ZCnYfLs,OPINION_OPR,揭示,VERB,root,VE,JsFROg-W3z,OPINION_SEG,讓,VERB,parataxis,VL,OPR->SEG,right
FA_4qs2cZY,OPINION_OPR,指出,VERB,advcl,VE,nB42WeZc7G,OPINION_SRC,蔡,PROPN,nsubj,Nb,OPR->SRC,left
FA_4qs2cZY,OPINION_OPR,指出,VERB,advcl,VE,nB42WeZc7G,OPINION_SRC,文,PART,nsubj,Na,OPR->SRC,left
3bokhkZZNE,OPINION_OPR,說明,VERB,advcl,VE,r3je8zmeFh,OPINION_SRC,蔡,PROPN,nsubj,Nb,OPR->SRC,left
3bokhkZZNE,OPINION_OPR,說明,VERB,advcl,VE,r3je8zmeFh,OPINION_SRC,文,PART,nsubj,Na,OPR->SRC,left
mOVSJXF0TR,OPINION_OPR,說,VERB,root,VE,ZKC4XhpO5L,OPINION_SRC,蔡,PROPN,nsubj,Nb,OPR->SRC,left
mOVSJXF0TR,OPINION_OPR,說,VERB,root,VE,ZKC4XhpO5L,OPINION_SRC,文,PART,nsubj,Na,OPR->SRC,left
mOVSJXF0TR,OPINION_OPR,說,VERB,root,VE,ao7RGaJ2UQ,OPINION_SEG,分給,VERB,ccomp,VD,OPR->SEG,right
mOVSJXF0TR,OPINION_OPR,說,VERB,root,VE,ao7RGaJ2UQ,OPINION_SEG,協助,VERB,ccomp,VC,OPR->SEG,right
S1fdYirlM7,OPINION_OPR,表示,VERB,root,VE,UGIhk65ksz,OPINION_SRC,文,PART,nsubj,Na,OPR->SRC,left
S1fdYirlM7,OPINION_OPR,表示,VERB,root,VE,NsWqL-zGHL,OPINION_SEG,正是,VERB,ccomp,D,OPR->SEG,right
S1fdYirlM7,OPINION_OPR,表示,VERB,root,VE,NsWqL-zGHL,OPINION_SEG,使,VERB,ccomp,VL,OPR->SEG,right
S1fdYirlM7,OPINION_OPR,表示,VERB,root,VE,NsWqL-zGHL,OPINION_SEG,。,PUNCT,punct,PERIODCATEGORY,OPR->SEG,right
BIgQELnoJj,OPINION_OPR,喊話,VERB,root,VA,VBhnMGKKDY,OPINION_SRC,文,PART,nsubj,Nb,OPR->SRC,left
BIgQELnoJj,OPINION_OPR,喊話,VERB,root,VA,llZUWDVNhc,OPINION_SEG,穩定,ADJ,parataxis,VHC,OPR->SEG,right
BIgQELnoJj,OPINION_OPR,喊話,VERB,root,VA,llZUWDVNhc,OPINION_SEG,，,PUNCT,punct,COMMACATEGORY,OPR->SEG,right
BIgQELnoJj,OPINION_OPR,喊話,VERB,root,VA,llZUWDVNhc,OPINION_SEG,經歷,VERB,parataxis,VJ,OPR->SEG,right
