label_id,span_label,num_of_token,stanza_pos,stanza_dep,ckip_pos,token_text
"['k5K_dfPFam', '29Xdoo-Vez']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['他']
"['odsYxV1YeQ', 'XWGmDJV_2H']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['他']
"['A-oARVLfAG', 'lP0ruQtbwz']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['侯']
"['uSHdkyecLi', 'ehTqe-DTXv']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['她']
"['2QT8KcHE1J', 'UO6mPn_slh']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['她']
"['TzsCt0Bfkm', 'KHBrAMa1tr']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['她']
"['L5h7a9bU8S', '8SWAzxNxHa']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['他']
"['wgSA-wLL2X', '43c4lrx1fm']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['她']
"['nW7sx7yn9y', 's2l5VtrQhC']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['他']
"['eMIIPb9vqv', 'tsKNWGieKh']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['張']
"['bfQMqXGfdp', 'WtMSK5g2gA']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['張']
"['k9jT_L61j0', 'Sd_pKMKowU']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['她']
"['3qTrKbzhPC', 'Nfoh0_hXed']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['吳']
"['g80HFf11oR', 'eH362uQfPE']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['吳']
"['Alavd-C9u7', 'P_qWCSasxC']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['吳']
"['0Mr2qyAL8h', '0HXd0eij1v']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['吳']
"['emrS1XQOKT', 'bRT1Y2dAzZ']",Pronoun,3,"['NUM', 'NOUN', 'NOUN']","['nummod', 'clf', 'nsubj']","['Neu', 'Nf', 'Na']","['3', '位', '監委']"
"['xSVgX9KrNE', 'wyMxfAHZgu']",Pronoun,1,['PROPN'],['nsubj'],['Nh'],['余']
"['maAgV6TFQY', 'vZ1wuyVhAa']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['她']
"['X0n8OWSQH8', 'NmMFnCet9-']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['他']
"['qGEa_C3ekw', '-2iUWYwQGN']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['他']
"['ajaNKj9eVV', 'vOP2Xf5WFf']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['她']
"['Cu3XAvnkfS', 'cFY6sv1sV_']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['他']
"['oq8L5KmRRl', 'rBlORTDdeM']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['他']
"['fGZEoTkq97', 'ncEYvBeDwt']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['他']
"['G0Q2eGnFbS', 'Ehorde1cRw']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['游']
"['e_eI6GA6mf', '9oEMo6UKrE']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['張']
"['RygwjNrcLN', 'xQFKabCYA3']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['張']
"['o0G6_Ib_5u', '_FElPXb2yI']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['張']
"['QOxI0EvUL5', 'fvFV9iLyrn']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['張']
"['07Uqa3p6KA', 'MM3Jj3GtG-']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['他']
"['ktUgdqbroG', 'NJi_ACwSu8']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['張']
"['5fTsb_cmOk', 'LsRNzKOPQo', 'jVZ3VUayKV']",Pronoun,1,['PROPN'],['nsubj'],['Nb'],['賴振昌']
"['2LYqIhXzwn', 'yXQEDfWhHg']",Pronoun,3,"['NUM', 'NOUN', 'NOUN']","['nummod', 'clf', 'nsubj']","['Neu', 'Nf', 'Na']","['2', '位', '監委']"
"['PabeZz46Wp', 'DQ2BHpSB0P']",Pronoun,3,"['DET', 'NOUN', 'PART']","['det', 'compound', 'nsubj']","['Nes', 'Na', 'Na']","['該', '公務', '員']"
"['6fe6FxtWbe', 'aNzpmcNjcu']",Pronoun,1,['PRON'],['nsubj'],['Nh'],['他']
"['lQeMqDHyqj', 'Ok3QwBpfqE']",Pronoun,2,"['PROPN', 'NOUN']","['nsubj', 'nsubj']","['Nb', 'Na']","['蔡', '總統']"
"['Hj4O-qke6Z', 'exnUPmphM7']",Pronoun,2,"['PROPN', 'NOUN']","['nmod', 'nsubj']","['Nb', 'Na']","['蔡', '總統']"
